192.168.5.12, 2015-10-30 09:39:51, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002000
192.168.5.12, 2015-10-30 09:39:51, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001000
192.168.5.12, 2015-10-30 09:39:51, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000000
192.168.5.12, 2015-10-30 09:39:51, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000000
192.168.5.12, 2015-10-30 09:39:51, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
192.168.5.12, 2015-10-30 09:39:51, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001000
192.168.5.12, 2015-10-30 09:39:51, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001000
192.168.5.12, 2015-10-30 09:39:52, GET, /welcome/static/fonts/glyphicons-halflings-regular.eot, HTTP/1.1, 200, 0.000000
192.168.5.12, 2015-10-30 09:39:52, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001000
192.168.5.12, 2015-10-30 09:39:52, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001000
192.168.5.12, 2015-10-30 09:39:52, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000000
192.168.5.12, 2015-10-30 09:39:52, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.001000
192.168.5.12, 2015-10-30 09:39:52, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
192.168.5.45, 2015-10-30 09:40:34, GET, /, HTTP/1.1, 303, 0.002000
192.168.5.45, 2015-10-30 09:40:34, GET, /welcome/default/index, HTTP/1.1, 200, 0.049000
192.168.5.45, 2015-10-30 09:40:34, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
192.168.5.45, 2015-10-30 09:40:34, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.001000
192.168.5.45, 2015-10-30 09:40:34, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001000
192.168.5.45, 2015-10-30 09:40:34, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002000
192.168.5.45, 2015-10-30 09:40:34, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002000
192.168.5.45, 2015-10-30 09:40:34, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002000
192.168.5.45, 2015-10-30 09:40:34, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002000
192.168.5.45, 2015-10-30 09:40:34, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002000
192.168.5.45, 2015-10-30 09:40:35, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.001000
192.168.5.45, 2015-10-30 09:40:35, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff, HTTP/1.1, 200, 0.054000
192.168.5.45, 2015-10-30 09:40:35, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002000
192.168.5.45, 2015-10-30 09:40:35, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001000
192.168.5.45, 2015-10-30 09:40:35, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.002000
192.168.5.45, 2015-10-30 09:40:35, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.007000
192.168.5.45, 2015-10-30 09:40:35, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.004000
192.168.5.45, 2015-10-30 09:40:35, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.002000
192.168.5.45, 2015-10-30 09:40:36, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
192.168.5.45, 2015-10-30 09:40:48, GET, /admin/default/index, HTTP/1.1, 200, 0.199000
192.168.5.45, 2015-10-30 09:40:48, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
192.168.5.12, 2015-10-30 09:41:14, GET, /admin/default/index, HTTP/1.1, 200, 0.126000
192.168.5.12, 2015-10-30 09:41:14, GET, /admin/static/_2.12.3/js/jquery.js, HTTP/1.1, 200, 0.001000
192.168.5.12, 2015-10-30 09:41:14, GET, /admin/static/_2.12.3/css/calendar.css, HTTP/1.1, 200, 0.003000
192.168.5.12, 2015-10-30 09:41:14, GET, /admin/static/_2.12.3/js/calendar.js, HTTP/1.1, 200, 0.001000
192.168.5.12, 2015-10-30 09:41:14, GET, /admin/static/_2.12.3/js/web2py.js, HTTP/1.1, 200, 0.000000
192.168.5.12, 2015-10-30 09:41:14, GET, /admin/static/_2.12.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.003000
192.168.5.12, 2015-10-30 09:41:14, GET, /admin/static/_2.12.3/plugin_multiselect/start.js, HTTP/1.1, 200, 0.010000
192.168.5.12, 2015-10-30 09:41:14, GET, /admin/static/_2.12.3/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.010000
192.168.5.12, 2015-10-30 09:41:14, GET, /admin/static/_2.12.3/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.005000
192.168.5.12, 2015-10-30 09:41:14, GET, /admin/static/_2.12.3/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.003000
192.168.5.12, 2015-10-30 09:41:14, GET, /admin/static/_2.12.3/css/bootstrap.min.css, HTTP/1.1, 200, 0.003000
192.168.5.12, 2015-10-30 09:41:14, GET, /admin/static/_2.12.3/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.003000
192.168.5.12, 2015-10-30 09:41:14, GET, /admin/static/_2.12.3/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002000
192.168.5.12, 2015-10-30 09:41:14, GET, /admin/static/_2.12.3/js/bootstrap.min.js, HTTP/1.1, 200, 0.002000
192.168.5.12, 2015-10-30 09:41:14, GET, /admin/static/_2.12.3/images/questions.png, HTTP/1.1, 200, 0.001000
192.168.5.12, 2015-10-30 09:41:14, GET, /admin/static/_2.12.3/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.007000
192.168.5.12, 2015-10-30 09:41:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.5.12, 2015-10-30 09:41:20, GET, /admin/default/index, HTTP/1.1, 200, 0.109000
192.168.5.12, 2015-10-30 09:41:20, GET, /admin/static/_2.12.3/js/jquery.js, HTTP/1.1, 304, 0.000000
192.168.5.12, 2015-10-30 09:41:20, GET, /admin/static/_2.12.3/css/calendar.css, HTTP/1.1, 304, 0.000000
192.168.5.12, 2015-10-30 09:41:20, GET, /admin/static/_2.12.3/js/calendar.js, HTTP/1.1, 304, 0.000000
